symbol,avg_daily_return,volatility,sharpe_ratio,max_drawdown,avg_volume,best_model,best_model_rmse
ebmt,0.0006951466591260265,0.2699591569913461,0.6489017081401475,-0.416037653185124,6400.213506493506,RandomForestRegressor,0.19372416745035345
esnc,0.0006072608445154429,1.090347459288762,0.1403495110794439,-0.9936026936026936,152130.74788624136,RandomForestRegressor,0.3212312297203146
tds,0.00011616044821284928,0.33521682371770084,0.0873238777964482,-0.7289307089335365,513554.1197736561,RandomForestRegressor,0.6513697254129882
mktx,0.0013904180556592147,0.48910814840988426,0.7163760226960907,-0.7769061668402175,207292.3065073876,RandomForestRegressor,1.3758319817475424
wtt,0.0005607275399632679,0.571390919561791,0.24729713972198114,-0.9203821656050956,33802.87925598991,XGBRegressor,0.06469285471329045
nghcp,0.00036732117049358896,0.10478009062723384,0.8834210240731123,-0.05682705345769812,5600.228535353535,RandomForestRegressor,0.1382325819069913
neon,-0.00044425357410198956,0.6595155644701075,-0.16974868631591725,-0.8816425120772947,380217.969410051,RandomForestRegressor,0.16861912134545345
uhn,-0.0002929537869814481,0.3191182310842197,-0.23133856711508802,-0.8529055690072639,6026.402614379085,RandomForestRegressor,0.6620574805075563
hebt,-0.0004216085418932389,0.678414150073958,-0.15660839701753532,-0.40330188679245293,55351.846534653465,SVR,0.1312524304185803
bpt,0.00014201804669696655,0.3912632418614539,0.0914692307853143,-0.8578362275666642,309928.68217541656,RandomForestRegressor,0.8886733195947718
asml,0.0010652075246524912,0.3507013841029805,0.7654155597333056,-0.6462888591402647,2562601.988682804,RandomForestRegressor,1.143808988489773
zf,0.00012332714429792908,0.19953066101950273,0.1557577176574403,-0.6633764356276605,109909.75479408991,RandomForestRegressor,0.09923898410232738
atv,0.0024560931030223167,2.311562743856858,0.2677562889462935,-0.9830821917808219,18924.348717948717,RandomForestRegressor,1.6021184562552457
flr,0.0006014207213461495,0.4020662742923808,0.37694786026499044,-0.7003475450480365,2075803.9235683861,RandomForestRegressor,1.14640679579831
ns_b,2.8796014283014865e-05,0.07681281522631918,0.09447115794336025,-0.03887605850654352,110202.0701754386,RandomForestRegressor,0.1395047348524851
airr,0.00040935384368501437,0.19883040304418595,0.5188198938856402,-0.2789272030651341,44174.82574916759,RandomForestRegressor,0.2426674027739399
avnw,-0.00036879888688740145,0.5949043408616124,-0.1562222917402521,-0.9748657881893606,26188.78206078577,XGBRegressor,3.5227110985028602
ftsd,3.9738842177900624e-05,0.021299195284899392,0.4701674450551084,-0.008727918887843744,9495.907131011609,RandomForestRegressor,0.11137498808919545
ijt,0.00047259079192981556,0.22232907528023785,0.5356603917692782,-0.5798402054501355,217761.46463376298,RandomForestRegressor,1.2017422908858657
wbii,9.360914190510399e-05,0.041158632063969504,0.5731362432896935,-0.04345011732340809,52202.28045685279,RandomForestRegressor,0.06869287783250473
hlm_,0.00027160334619249333,0.15456184923130134,0.4428262445157603,-0.18307692307692303,4909.741136747327,RandomForestRegressor,0.22836146237030525
lbtyk,0.0005520848831394458,0.3344993848646197,0.4159212149446788,-0.7853632072912711,2262589.9147540983,RandomForestRegressor,0.45149219019522735
vg,0.0013297300854599639,0.9251089545506861,0.36221893636156716,-0.9633333333333334,2127416.773440223,RandomForestRegressor,0.13630406295630818
aosl,0.00046988332559328946,0.41634262966356694,0.2844066151601933,-0.5550488599348534,86420.94731240021,RandomForestRegressor,0.34705787984814435
son,0.0003748084930560773,0.2512485249964225,0.37592953133347307,-0.622426838767108,540889.106570261,RandomForestRegressor,0.45693154155218
sigm,0.0004314032784886268,0.5478828781283885,0.19842493810083708,-0.9542746293473743,568453.2867022948,RandomForestRegressor,0.6697647348294603
alg,0.0008556315754849977,0.43260263173817154,0.49842312830107977,-0.6529676119634279,37341.20918527839,RandomForestRegressor,0.792780501280598
ivty,0.00011211166703757363,0.66924901433979,0.04221469062803046,-0.6680355920602328,87554.80508474576,RandomForestRegressor,0.3932359581630004
bep,0.0005454042961617061,0.24179272906080265,0.5684285179567496,-0.320848548078595,50284.20802919708,RandomForestRegressor,0.3807970007541561
msca,0.0002695172267450942,0.09454895675869787,0.7183404605203718,-0.07049969281179602,7426.601809954751,RandomForestRegressor,0.1293733018444702
pran,0.0010390631619506727,0.9179805014675861,0.28523908339333637,-0.9779670181130036,54646.65704314721,RandomForestRegressor,0.9830279487462736
qtrh,-0.00023832339428965312,0.5104164124303271,-0.11766372298851296,-0.8796389167502507,98340.01246882793,RandomForestRegressor,0.09830183964318119
smsi,0.0003129663699090406,0.7490988985854415,0.10528319473704671,-0.9899697336561744,100713.59006601697,RandomForestRegressor,1.3231499012085848
ncb,0.0002673939736279258,0.1319062717593378,0.5108421340054071,-0.1740925885677027,10306.218957345971,RandomForestRegressor,0.11931674107787824
ftf,0.0001661479135585365,0.17949723300599366,0.2332586052474309,-0.5722776095364479,114117.05501414649,XGBRegressor,0.08052148921681235
gyc,0.00025672355754738103,0.20372719688542568,0.3175537556643629,-0.24677725118483418,2709.3173615432484,RandomForestRegressor,0.23234177234618272
sndx,0.00030662784727363983,0.725093639464944,0.10656584654359393,-0.6100408639813193,108918.61124694376,RandomForestRegressor,0.48347749163594506
vrtv,-0.00017146760066852126,0.4496875928182229,-0.09608856472483122,-0.6240963855421686,83257.63766388557,RandomForestRegressor,1.2843854370911798
tmst,-0.00011157360979494583,0.8048292531950565,-0.03493480083720577,-0.9183598305813025,601210.5990338164,RandomForestRegressor,0.823019327584907
hstm,0.0012002059564021567,0.5231453464574088,0.578141243272948,-0.6620278330019881,91404.63278791693,RandomForestRegressor,0.49575039059220866
